Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 23740 | GridSize: 190
Generation 2 | Revalues: 27870 | GridSize: 250
Generation 3 | Revalues: 34180 | GridSize: 296
Generation 4 | Revalues: 36640 | GridSize: 300
Generation 5 | Revalues: 39750 | GridSize: 293
Generation 6 | Revalues: 42060 | GridSize: 299
Generation 7 | Revalues: 44130 | GridSize: 299
Generation 8 | Revalues: 48250 | GridSize: 269
Generation 9 | Revalues: 50340 | GridSize: 277
Generation 10 | Revalues: 52010 | GridSize: 286
Generation 11 | Revalues: 53590 | GridSize: 299
Generation 12 | Revalues: 55380 | GridSize: 299
Generation 13 | Revalues: 57310 | GridSize: 293
Generation 14 | Revalues: 59890 | GridSize: 281
Generation 15 | Revalues: 61920 | GridSize: 291
Generation 16 | Revalues: 64620 | GridSize: 300
Generation 17 | Revalues: 65880 | GridSize: 300
Generation 18 | Revalues: 67370 | GridSize: 295
Generation 19 | Revalues: 68830 | GridSize: 299
Generation 20 | Revalues: 70290 | GridSize: 295
Generation 21 | Revalues: 71890 | GridSize: 298
Generation 22 | Revalues: 73350 | GridSize: 300
Generation 23 | Revalues: 75020 | GridSize: 300
Generation 24 | Revalues: 77300 | GridSize: 296
Generation 25 | Revalues: 78540 | GridSize: 300
Generation 26 | Revalues: 79830 | GridSize: 295
Generation 27 | Revalues: 81000 | GridSize: 293
Generation 28 | Revalues: 82880 | GridSize: 292
Generation 29 | Revalues: 84030 | GridSize: 300
Generation 30 | Revalues: 85460 | GridSize: 300
Generation 31 | Revalues: 86730 | GridSize: 299
Generation 32 | Revalues: 87980 | GridSize: 300
Generation 33 | Revalues: 89700 | GridSize: 284
Generation 34 | Revalues: 91350 | GridSize: 300
Generation 35 | Revalues: 92630 | GridSize: 299
Generation 36 | Revalues: 93770 | GridSize: 300
Generation 37 | Revalues: 95030 | GridSize: 297
Generation 38 | Revalues: 96190 | GridSize: 300
Generation 39 | Revalues: 97940 | GridSize: 300
Generation 40 | Revalues: 99080 | GridSize: 300
Generation 41 | Revalues: 100240 | GridSize: 300
Generation 42 | Revalues: 101930 | GridSize: 300
Generation 43 | Revalues: 103130 | GridSize: 300
Generation 44 | Revalues: 104320 | GridSize: 300
Generation 45 | Revalues: 105630 | GridSize: 300
Generation 46 | Revalues: 106930 | GridSize: 300
Generation 47 | Revalues: 108110 | GridSize: 299
Generation 48 | Revalues: 109320 | GridSize: 300
Generation 49 | Revalues: 110570 | GridSize: 297
Generation 50 | Revalues: 111880 | GridSize: 298
Generation 51 | Revalues: 113340 | GridSize: 300
Generation 52 | Revalues: 114620 | GridSize: 299
Generation 53 | Revalues: 115880 | GridSize: 299
Generation 54 | Revalues: 117160 | GridSize: 300
Generation 55 | Revalues: 118390 | GridSize: 300
Generation 56 | Revalues: 119830 | GridSize: 300
Generation 57 | Revalues: 121210 | GridSize: 300
Generation 58 | Revalues: 122450 | GridSize: 298
Generation 59 | Revalues: 123650 | GridSize: 300
Generation 60 | Revalues: 124820 | GridSize: 300
Generation 61 | Revalues: 125900 | GridSize: 300
Generation 62 | Revalues: 126950 | GridSize: 300
Generation 63 | Revalues: 128140 | GridSize: 300
Generation 64 | Revalues: 129380 | GridSize: 300
Generation 65 | Revalues: 130610 | GridSize: 300
Generation 66 | Revalues: 131870 | GridSize: 300
Generation 67 | Revalues: 132960 | GridSize: 300
Generation 68 | Revalues: 134160 | GridSize: 299
Generation 69 | Revalues: 135200 | GridSize: 300
Generation 70 | Revalues: 136430 | GridSize: 299
Generation 71 | Revalues: 137590 | GridSize: 300
Generation 72 | Revalues: 138890 | GridSize: 300
Generation 73 | Revalues: 140220 | GridSize: 299
Generation 74 | Revalues: 141310 | GridSize: 297
Generation 75 | Revalues: 142350 | GridSize: 300
Generation 76 | Revalues: 143570 | GridSize: 300
Generation 77 | Revalues: 144610 | GridSize: 300
Generation 78 | Revalues: 145750 | GridSize: 299
Generation 79 | Revalues: 147110 | GridSize: 300
Generation 80 | Revalues: 148170 | GridSize: 300
Generation 81 | Revalues: 149430 | GridSize: 300
Generation 82 | Revalues: 150690 | GridSize: 296
Generation 83 | Revalues: 151890 | GridSize: 297
Generation 84 | Revalues: 153100 | GridSize: 300
Generation 85 | Revalues: 154270 | GridSize: 300
Generation 86 | Revalues: 155380 | GridSize: 298
Generation 87 | Revalues: 156510 | GridSize: 300
Generation 88 | Revalues: 157750 | GridSize: 299
Generation 89 | Revalues: 158840 | GridSize: 291
Generation 90 | Revalues: 159890 | GridSize: 300
Generation 91 | Revalues: 161130 | GridSize: 297
Generation 92 | Revalues: 162290 | GridSize: 300
Generation 93 | Revalues: 163530 | GridSize: 300
Generation 94 | Revalues: 164570 | GridSize: 300
Generation 95 | Revalues: 165700 | GridSize: 300
Generation 96 | Revalues: 166830 | GridSize: 298
Generation 97 | Revalues: 167960 | GridSize: 295
Generation 98 | Revalues: 169150 | GridSize: 299
Generation 99 | Revalues: 170670 | GridSize: 293
Generation 100 | Revalues: 171810 | GridSize: 297
Generation 101 | Revalues: 173230 | GridSize: 298
Generation 102 | Revalues: 174340 | GridSize: 298
Generation 103 | Revalues: 175410 | GridSize: 300
Generation 104 | Revalues: 176730 | GridSize: 299
Generation 105 | Revalues: 177870 | GridSize: 300
Generation 106 | Revalues: 179130 | GridSize: 300
Generation 107 | Revalues: 180340 | GridSize: 300
Generation 108 | Revalues: 181470 | GridSize: 300
Generation 109 | Revalues: 182570 | GridSize: 300
Generation 110 | Revalues: 183820 | GridSize: 298
Generation 111 | Revalues: 185230 | GridSize: 300
Generation 112 | Revalues: 186520 | GridSize: 300
Generation 113 | Revalues: 187630 | GridSize: 300
Generation 114 | Revalues: 188680 | GridSize: 300
Generation 115 | Revalues: 189740 | GridSize: 297
Generation 116 | Revalues: 190890 | GridSize: 300
Generation 117 | Revalues: 192080 | GridSize: 298
Generation 118 | Revalues: 193310 | GridSize: 299
Generation 119 | Revalues: 194520 | GridSize: 300
Generation 120 | Revalues: 195580 | GridSize: 299
Generation 121 | Revalues: 196710 | GridSize: 300
Generation 122 | Revalues: 197770 | GridSize: 300
Generation 123 | Revalues: 198770 | GridSize: 300
Generation 124 | Revalues: 199900 | GridSize: 299
Generation 125 | Revalues: 201110 | GridSize: 300
Generation 126 | Revalues: 202160 | GridSize: 299
Generation 127 | Revalues: 203650 | GridSize: 299
Generation 128 | Revalues: 204790 | GridSize: 300
Generation 129 | Revalues: 205790 | GridSize: 300
Generation 130 | Revalues: 206840 | GridSize: 300
Generation 131 | Revalues: 207980 | GridSize: 300
Generation 132 | Revalues: 209060 | GridSize: 298
Generation 133 | Revalues: 210270 | GridSize: 300
Generation 134 | Revalues: 211540 | GridSize: 300
Generation 135 | Revalues: 212610 | GridSize: 300
Generation 136 | Revalues: 213610 | GridSize: 299
Generation 137 | Revalues: 214770 | GridSize: 300
Generation 138 | Revalues: 215790 | GridSize: 300
Generation 139 | Revalues: 216880 | GridSize: 300
Generation 140 | Revalues: 218070 | GridSize: 300
Generation 141 | Revalues: 219070 | GridSize: 300
Generation 142 | Revalues: 220130 | GridSize: 300
Generation 143 | Revalues: 221190 | GridSize: 300
Generation 144 | Revalues: 222250 | GridSize: 299
Generation 145 | Revalues: 223600 | GridSize: 299
Generation 146 | Revalues: 224790 | GridSize: 300
Generation 147 | Revalues: 225810 | GridSize: 300
Generation 148 | Revalues: 226970 | GridSize: 300
Generation 149 | Revalues: 228200 | GridSize: 300
Generation 150 | Revalues: 229490 | GridSize: 298
Generation 151 | Revalues: 230520 | GridSize: 300
Generation 152 | Revalues: 231580 | GridSize: 300
Generation 153 | Revalues: 232600 | GridSize: 300
Generation 154 | Revalues: 233600 | GridSize: 300
Generation 155 | Revalues: 234780 | GridSize: 300
Generation 156 | Revalues: 236080 | GridSize: 299
Generation 157 | Revalues: 237220 | GridSize: 299
Generation 158 | Revalues: 238350 | GridSize: 299
Generation 159 | Revalues: 239530 | GridSize: 300
Generation 160 | Revalues: 240630 | GridSize: 300
Generation 161 | Revalues: 241800 | GridSize: 299
Generation 162 | Revalues: 242930 | GridSize: 300
Generation 163 | Revalues: 244340 | GridSize: 300
Generation 164 | Revalues: 245600 | GridSize: 299
Generation 165 | Revalues: 246650 | GridSize: 300
Generation 166 | Revalues: 247710 | GridSize: 300
Generation 167 | Revalues: 248760 | GridSize: 300
Generation 168 | Revalues: 249770 | GridSize: 300
Generation 169 | Revalues: 250810 | GridSize: 300
Generation 170 | Revalues: 251990 | GridSize: 297
Generation 171 | Revalues: 253050 | GridSize: 300
Generation 172 | Revalues: 254050 | GridSize: 300
