Instance,VBS_Prediction
71,0.8039060590735003
129,0.7262640526441995
22,0.6924141516366489
183,0.8548007197139996
429,0.7873318774675003
64,0.7935783085663499
481,0.7851759831370002
241,0.7879191915075503
281,0.8100984622439
84,0.7934122173680498
161,0.7924259850141497
103,0.7872565209044504
209,0.80589426942905
206,0.7988643088450503
244,0.7921104263465
336,0.7934953454774002
331,0.7909751881140502
0,0.77874836662315
261,0.7924655445686
504,0.7862201414578499
407,0.8034547514149
440,0.8010537214872504
230,0.7917518660670502
430,0.7947915388320996
A,0.7965212571480503
357,0.7968353106225503
202,0.8030944444231999
345,0.8049851169065998
232,0.7908115071202496
127,0.7996430225900499
20,0.7972808118522495
387,0.8055812912910997
67,0.8090508958842999
502,0.8006184740665501
94,0.7967686642444999
74,0.7931183947912994
23,0.7948394319714999
156,0.79831617771455
394,0.7890384010389501
121,0.8002160804993997
242,0.7964030273914999
80,0.8002573477164003
11,0.8030078080898501
59,0.7936429924129
179,0.8069946227279003
427,0.7966163864829001
340,0.7886609435760498
137,0.7928640343604502
366,0.7918281264876001
322,0.7963452560280002
81,0.8039452519164
237,0.7992006150234997
69,0.8022396552993001
239,0.8003278589153502
497,0.7956989024876503
