Instance,VBS_Prediction
71,0.7375775894714875
129,0.7377343875402325
22,0.6851835351179487
183,0.7591476764294319
429,0.6337107287310362
64,0.6593781105745051
481,0.7468896392944493
241,0.7649578625724723
281,0.7110571517857014
84,0.7452644736131788
161,0.8009621346214573
103,0.6320677125974303
209,0.6268617194918705
206,0.609291342225561
244,0.6225918306185139
336,0.6376184529533397
331,0.6375844231915028
0,0.632325759184395
261,0.6239417532205692
504,0.6301364403948575
407,0.6325818215157485
440,0.63738673866865
230,0.6432572383137724
430,0.6252839864091977
A,0.6165896955569398
357,0.6337226741473903
202,0.6372027741286003
345,0.6223410811835302
232,0.6215351259556422
127,0.6345522753579393
20,0.6482838241406113
387,0.6355769103645991
67,0.624958480679418
502,0.6490617007913931
94,0.6325275198480146
74,0.6330270391323947
23,0.633837615074921
156,0.6241269639356665
394,0.6434632383642911
121,0.6306170632301253
242,0.6343115253159014
80,0.6333277227811525
11,0.622238740992909
59,0.6443571789391092
179,0.6219359517379481
427,0.6185602727323657
340,0.6394093891792032
137,0.6184534640863428
366,0.6192053917646877
322,0.6409118465530445
81,0.6293303791612356
237,0.6487290728224221
69,0.6304148595645044
239,0.6273910526849081
497,0.6330035737206557
496,0.6242432934836004
92,0.622688137363442
168,0.6364513205230371
14,0.6295601898759791
367,0.6277817702009283
247,0.6290298006149375
