Instance,AS_Prediction
71,0.8040390792230009
129,0.7268022981117
22,0.6929571338746999
183,0.8778200047154532
429,0.7873318774675003
64,0.7935807337458499
481,0.7851759831370002
241,0.7879216166870503
281,0.8100984622439
84,0.79344577993655
161,0.7927054656267498
103,0.7872653179709503
209,0.80589426942905
206,0.7989215510285503
244,0.7921905027156
336,0.7934953454774002
331,0.7910746872960501
0,0.77874836662315
261,0.7924655445686
504,0.7862201414578499
407,0.8034547514149
440,0.8010537214872504
230,0.7917542912465501
430,0.7947915388320996
A,0.7965212571480503
357,0.7968377358020503
202,0.8033742137842996
345,0.8049851169065998
232,0.7908806895597494
127,0.7996430225900499
20,0.7972808118522495
387,0.8058262158160997
67,0.8090951716257997
502,0.8006184740665501
94,0.7968056038534997
74,0.7932091975997992
23,0.7948394319714999
156,0.79831617771455
394,0.7890943170479501
121,0.8002592172594999
242,0.7964914050204999
80,0.8002573477164003
11,0.8030078080898501
59,0.7936429924129
179,0.8069946227279003
427,0.7966163864829001
340,0.7887697238067999
137,0.7928640343604502
366,0.7918837016071002
322,0.7963774562950003
81,0.8040336295454
237,0.7992079511559996
69,0.8022499316078001
239,0.80039428193545
497,0.7957062386201502
