Instance,SBS_Prediction
71,0.8661327307988559
129,0.842832865335639
22,0.8614917028077389
183,0.8210318048996146
429,0.8299318233913285
64,0.8432871613517864
481,0.8503726223029636
241,0.8509481626863991
281,0.8401307874193092
84,0.8613300210535535
161,0.8382383530060529
103,0.8415776680183089
209,0.8462895547564204
206,0.8549170631822062
244,0.8417628565147216
336,0.8511619412911299
331,0.8524600752017878
0,0.8534588532911345
261,0.8666178541578664
504,0.8599963318134648
407,0.8639185640624667
440,0.8533785736313456
230,0.8438311375452734
430,0.8659027704507861
A,0.8599784698815226
357,0.8519965355304656
202,0.8549796637166094
345,0.857158523602872
232,0.8480948340440908
127,0.8578705194864611
20,0.8558210434761115
387,0.8591472942289324
67,0.8390769330894657
502,0.8450851520797769
94,0.8413812865900432
74,0.8508518072944166
23,0.8401151115842262
156,0.8370771849125976
394,0.8502354870760481
121,0.8430768294946596
242,0.8459271710592203
80,0.8448879185572312
11,0.8528090512595241
59,0.8589801237095357
179,0.8515604523472702
427,0.8422006182130575
340,0.8637965897922177
137,0.8401357056472486
366,0.8631565841315844
322,0.8643048419344265
81,0.8533765919316555
237,0.8510597956794176
69,0.8562561968436379
239,0.8590727121980243
497,0.8478654687646521
496,0.8622328165374664
