Instance,SBS_Prediction
71,0.7827907162980006
129,0.7384947254776003
22,0.6953091064373998
183,0.8792538622463623
429,0.7893378341503501
64,0.795199192166
481,0.7924906272025996
241,0.8071883058898499
281,0.8122469826524501
84,0.7955475772927001
161,0.7918071343096997
103,0.7883669404997999
209,0.7976258717215003
206,0.79308094532095
244,0.8016261577003502
336,0.8001846597950495
331,0.7953667934130497
0,0.7928892205578998
261,0.8005809829679005
504,0.78300428924635
407,0.7985240186939498
440,0.8098647283813001
230,0.8049246504192498
430,0.7958085043126502
A,0.7928338431495005
357,0.8056676427824001
202,0.78828400860535
345,0.7933014284062
232,0.7895622366961503
127,0.7930844190181
20,0.8010027129082499
387,0.7833254132592502
67,0.7916799875116002
502,0.7816920003761503
94,0.7876842236912002
74,0.8024579618601498
23,0.79760748282735
156,0.8043701418941501
394,0.8005293318042003
121,0.7877934264640001
242,0.7950505529244504
80,0.7999021534212498
11,0.79325155155715
59,0.803992720702
179,0.7880545001479495
427,0.7959627656345001
340,0.7951490140329001
137,0.7980495015992501
366,0.8007355923498
322,0.7889185379674499
81,0.8037105227898502
237,0.7940435108167498
69,0.7959067335622005
239,0.8044159143368006
497,0.7940726114017
