Instance,AS_Prediction
71,0.7207856319478756
129,0.7359666674519104
22,0.6899054638784139
183,0.7600534538343829
429,0.6544277299917846
64,0.6675306860620782
481,0.7507600634375966
241,0.7709625620632768
281,0.7178766653033726
84,0.7393312974224588
161,0.7999234967085539
103,0.6298513424828021
209,0.633216030764126
206,0.6137850029074078
244,0.6432076282979247
336,0.6276772700610699
331,0.6352677511393374
0,0.6158377753016956
261,0.6372443950073368
504,0.6305469807583344
407,0.6202131628321063
440,0.635474503631442
230,0.6278887116844956
430,0.6215976141565933
A,0.6323370480457875
357,0.6364986341385888
202,0.6230488437627915
345,0.6362002901865587
232,0.6377781600118302
127,0.6217303063579781
20,0.6456391905521005
387,0.6283049292920222
67,0.6325358968544571
502,0.6256460746164738
94,0.6259398925619676
74,0.6216392375074318
23,0.629750094937694
156,0.6304770144166486
394,0.6385026070961058
121,0.631544922632108
242,0.6211544472308206
80,0.6223560475830109
11,0.6120955888185347
59,0.638257673430204
179,0.6379293710336115
427,0.6269011845804578
340,0.629577975515483
137,0.6430384338735169
366,0.6262590879934036
322,0.6282146497635362
81,0.626448741579362
237,0.6253639391169731
69,0.6442714392386003
239,0.6378245422577836
497,0.62039960131283
496,0.627192516097892
92,0.6294982604446681
168,0.6288383388575683
14,0.6321886240988676
367,0.6355191865091893
247,0.6210175981287656
