Instance,VBS_Prediction
71,0.8618036046109881
129,0.8107750972410972
22,0.853480246234506
183,0.8149801411079551
429,0.82661372283719
64,0.8593212813012379
481,0.8495058375852385
241,0.8482304326247488
281,0.8563444872756877
84,0.8624111124737882
161,0.8532266907349824
103,0.8499240965832265
209,0.8576598502752983
206,0.8521346510016379
244,0.8509005573625495
336,0.8466229429213036
331,0.8589825308387136
0,0.8468332070665439
261,0.8524053419742731
504,0.861016956444658
407,0.8505296881575132
440,0.8523236948163965
230,0.8394462673665035
430,0.8472257414791216
A,0.8497526524647451
357,0.8537560063359007
202,0.8396003865573065
345,0.8587830058785745
232,0.8581322747636642
127,0.8505121950342105
20,0.8551301845944725
387,0.8550768764860139
67,0.8567116478757194
502,0.8536544318151552
94,0.8429319654858725
74,0.8523570726562459
23,0.8425122603222204
156,0.8562899349838378
394,0.8543968895316288
121,0.8560484044487078
242,0.8477819753236016
80,0.861596006765468
11,0.8527439625814863
59,0.8396284636484879
179,0.8463709116597657
427,0.8604767194085313
340,0.8538977322466382
137,0.8491362804202638
366,0.8546763800098596
322,0.8629370109388041
81,0.8706614522949603
237,0.851883518660584
69,0.8495798064488533
239,0.8543576950387596
497,0.8483683780163408
496,0.8573625341760333
