Instance,AS_Prediction
71,0.7256921407705436
129,0.7383900512281025
22,0.695353055831026
183,0.7531526348199867
429,0.6575568127171786
64,0.6384788441006232
481,0.7375217996295196
241,0.7678868898284176
281,0.7232472114894845
84,0.7484835953165211
161,0.7865816696335074
103,0.6247241980231641
209,0.6522026685831463
206,0.6447464956902098
244,0.6252931554891912
336,0.6301909445563695
331,0.6344364243280366
0,0.6399715690832761
261,0.6287794792344289
504,0.6325422709836309
407,0.6160297733627094
440,0.6199765754957931
230,0.6318668876784891
430,0.6265721059962526
A,0.6341167544953885
357,0.633815926953483
202,0.6196414123435704
345,0.6343478683213278
232,0.6227884198597081
127,0.6365955817465081
20,0.6380887264188828
387,0.6442947711144352
67,0.6416584404465674
502,0.6320494830246561
94,0.6264733950762794
74,0.6290421618927177
23,0.6342319187644226
156,0.6241149571304047
394,0.6263787671764205
121,0.6360589713416567
242,0.6284029599813649
80,0.6242073359065452
11,0.6140585892227832
59,0.6479461324368014
179,0.6309525834092103
427,0.630152054401409
340,0.6263181302592811
137,0.6229580886966243
366,0.6347831593664442
322,0.6305230343157403
81,0.6336549222343307
237,0.6156770613220452
69,0.6298876300894525
239,0.6225825436027987
497,0.6216348420921869
496,0.6238978200595351
92,0.6439281342865486
168,0.6181459104575818
14,0.6289178138289234
367,0.6398401164116782
247,0.6364209630321498
