Instance,SBS_Prediction
71,0.7225185743461392
129,0.7489821230014548
22,0.6974409087108465
183,0.761831351460092
429,0.662196369787286
64,0.6625793747049535
481,0.7554562108762946
241,0.7693419622958756
281,0.733023884960549
84,0.7418256612804797
161,0.791657302700181
103,0.6227394934586308
209,0.6378396738227354
206,0.6243821634578015
244,0.6357359969319686
336,0.6265057994164978
331,0.631627048295723
0,0.640884541083402
261,0.6370084708270918
504,0.6214928215839957
407,0.6274770395238543
440,0.6261025327993395
230,0.611716027323305
430,0.6363303007686132
A,0.6167747782849008
357,0.6371253522226642
202,0.6214258936288688
345,0.6234240124902293
232,0.6168555610751284
127,0.6318820510777607
20,0.6350078565088989
387,0.63608351032253
67,0.6360409831088739
502,0.6186046411072046
94,0.6365462799856334
74,0.6349165082690024
23,0.6241429840296824
156,0.6349723322416192
394,0.6325652883309436
121,0.626702781450099
242,0.6280337561457091
80,0.634009554110684
11,0.6001201874118991
59,0.6303021524657657
179,0.639642824859303
427,0.6374929948869776
340,0.6422029490515871
137,0.6377288668354251
366,0.6368287221261147
322,0.6480136796528433
81,0.6311841922693978
237,0.625936114240365
69,0.6348820949485893
239,0.6104303478708151
497,0.6170039463400365
496,0.6232732815986592
92,0.6258889364230946
168,0.6238050566554791
14,0.6272650117153298
367,0.623033395760885
247,0.6205295334921115
