Instance,SBS_Prediction
71,0.7251113769158072
129,0.7465851048542692
22,0.6946427495243439
183,0.750094149327197
429,0.6578134622945515
64,0.6378258685632153
481,0.7501540597305464
241,0.7594062007563798
281,0.7219309802005646
84,0.7530506223664172
161,0.7910238551726462
103,0.6247256211181234
209,0.6300072123901306
206,0.6287600211385996
244,0.6439492931471706
336,0.6319797796866362
331,0.6372592868448532
0,0.6308303337620438
261,0.6191387195415595
504,0.6317823371443909
407,0.6165996122437322
440,0.6245778731292798
230,0.6263008799789431
430,0.6341700029847187
A,0.6217881966838533
357,0.6322325086664266
202,0.6338212700471179
345,0.6283643022405444
232,0.6368670755253925
127,0.6455021200980826
20,0.638403070767033
387,0.6315720340366024
67,0.6275555163847284
502,0.6259854045019395
94,0.6301323473028893
74,0.641999226448595
23,0.6274737912712586
156,0.6153147320655511
394,0.6298108207848231
121,0.6344554496822049
242,0.6329075803047721
80,0.6081716725410204
11,0.6208976017655536
59,0.6324167775233772
179,0.6334752108054803
427,0.6345544356337968
340,0.6162830209593291
137,0.635734048576519
366,0.6169935467747043
322,0.6224938524173178
81,0.6220344731976106
237,0.6242032867033956
69,0.6352843671785106
239,0.6345937916476834
497,0.6289079141506556
496,0.6289569634377932
92,0.6183349750545731
168,0.6252416170203371
14,0.6178532895034354
367,0.6349095986246095
247,0.6200174128209411
