Instance,VBS_Prediction
71,0.8055639113149996
129,0.7211562746711997
22,0.7026006370184987
183,0.8563794990379995
429,0.8074697618075001
64,0.7939392401475499
481,0.8059627063856497
241,0.7951436654937502
281,0.7975166686694003
84,0.7988123146608003
161,0.8029816667928001
103,0.7961939130711001
209,0.8011789194716
206,0.8078456186948
244,0.8094642643818003
336,0.7925215623271998
331,0.8009533792321
0,0.7939920840564
261,0.7957558714777501
504,0.7981203876898998
407,0.79844904884155
440,0.7994756050691998
230,0.8009502754753
430,0.7870888611346498
A,0.7938162555644501
357,0.7994158191406504
202,0.7834119100613502
345,0.7960238971076999
232,0.7955026326632999
127,0.7902414599463004
20,0.79868000672565
387,0.8056666579162003
67,0.7949582335916999
502,0.7949134923331997
94,0.7908874940362998
74,0.7950517806873997
23,0.7966137478675
156,0.7971333460746501
394,0.7916716212790004
121,0.8014664771244
242,0.7968519702255001
80,0.79119882716355
11,0.8004743056269499
59,0.79683709180185
179,0.7992402649152999
427,0.7894284511075498
340,0.7908778966436
137,0.7930385358285497
366,0.7892673613119997
322,0.79460211193665
81,0.7945947258343504
237,0.7900362173014998
69,0.7939418262251504
239,0.7973520302468505
497,0.7928252159289503
