Instance,SBS_Prediction
71,0.8621638695929106
129,0.8416696675758374
22,0.8493440923482136
183,0.8450376603938541
429,0.8359332872648885
64,0.8458931049129267
481,0.8553812942797459
241,0.8474766651577351
281,0.8524108328721401
84,0.848811803694426
161,0.8479617239038838
103,0.8633563136138455
209,0.8451889934268287
206,0.8399169726641685
244,0.8454160331310243
336,0.8549400709983601
331,0.8590987076465199
0,0.8504482983521803
261,0.8545089947306499
504,0.8628989486253676
407,0.8463685488235326
440,0.8504539473617375
230,0.8531497533227159
430,0.8517081409319885
A,0.8468086482633145
357,0.8480508861831448
202,0.839364718878163
345,0.8536151341360323
232,0.845955573137069
127,0.8670251927526244
20,0.8580706264793752
387,0.8675372390796299
67,0.8505162159988215
502,0.8443985281286855
94,0.8368723170499552
74,0.8450214162279264
23,0.842150795157348
156,0.8706376587139784
394,0.84541106118347
121,0.8438716406987606
242,0.8475004281756894
80,0.8575643456854888
11,0.8526023031443937
59,0.8525726676662703
179,0.8620729020946534
427,0.8533864634515705
340,0.8403346956050961
137,0.861728010785875
366,0.8513949948826052
322,0.857112895675087
81,0.8612179594717041
237,0.8522615063532436
69,0.8575387658528005
239,0.8477530292530245
497,0.8517069053496711
496,0.8540624508294148
