Instance,AS_Prediction
71,0.8088211124620005
129,0.7304024120469004
22,0.7109941525947997
183,0.878895397863635
429,0.7946184206863499
64,0.7860445912151001
481,0.7911663195913502
241,0.7981888359666499
281,0.8021201045649
84,0.7996212703618003
161,0.8007471086933496
103,0.7963116196341504
209,0.79511635319095
206,0.8055690554236503
244,0.8007317681412502
336,0.7984893851728003
331,0.7914400110169499
0,0.8006786196884996
261,0.8048423394654001
504,0.7982464981964504
407,0.7958533420128002
440,0.7979456678146002
230,0.7877277620092998
430,0.7974134627331496
A,0.7960010072694499
357,0.7998618280926998
202,0.79731873401985
345,0.7894079539261
232,0.7988867353535997
127,0.8095702957172503
20,0.80422105256175
387,0.79322566563865
67,0.8000737690534503
502,0.8055695496570503
94,0.7976607682186502
74,0.7953910853828002
23,0.79862940501845
156,0.7944960665272999
394,0.7963263492697
121,0.7954061554790001
242,0.81118370436645
80,0.7933425114172998
11,0.7985237140025503
59,0.79754666355645
179,0.8024167569562997
427,0.7952068427311496
340,0.7980676522344499
137,0.7915188673888498
366,0.8010946308564499
322,0.7984814119894995
81,0.8036890110632998
237,0.8003656546857502
69,0.7911704970080002
239,0.7903882123994502
497,0.8037447520350505
